Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Carbon_Emission,Emission_Category,Region,Time_Slot,Decision
Order Processing,Medium,37,Container_Small,Medium,0.51,0.28,Low,ap-south,Peak,Green Region Immediate
Warehouse Allocation,Medium,40,VM_Medium,Low,1.2,0.1,Very Low,Green_Region,Peak,Green Region Immediate
Quality Control,Low,15,Container_Micro,High,0.17,0.11,Very Low,ap-south,Peak,Green Region Immediate
Fleet Dispatch,High,98,VM_Large,High,2.64,0.18,Low,Green_Region,Off-Peak,Execute Immediately
Demand Forecasting,Critical,263,VM_XLarge,Critical,4.84,0.31,Low,Green_Region,Night,Execute Immediately
Supplier Management,Low,12,VM_Small,Low,0.26,0.1,Very Low,eu-central,Weekend,Green Region Immediate
Inventory Update,Medium,41,Container_Small,High,0.4,0.18,Low,us-east,Night,Green Region Immediate
Demand Forecasting,Critical,147,VM_XLarge,High,4.66,2.95,Very High,ap-south,Peak,Shift to Green Region + Night
Inventory Update,Low,14,Container_Micro,Low,0.16,0.07,Very Low,us-east,Peak,Green Region Immediate
Order Processing,High,87,Container_Large,Medium,1.03,0.38,Low,eu-central,Night,Green Region Immediate
Inventory Update,Low,30,Container_Micro,Critical,0.25,0.01,Very Low,Green_Region,Weekend,Execute Immediately
Warehouse Allocation,Low,24,VM_Small,High,0.41,0.12,Very Low,us-west,Night,Green Region Immediate
Demand Forecasting,Medium,43,VM_Medium,Medium,1.24,0.31,Low,us-west,Peak,Green Region Immediate
Demand Forecasting,Medium,41,Container_Small,Medium,0.58,0.4,Medium,ap-south,Peak,Schedule Night (Low Load)
Payment Settlement,Medium,47,VM_Medium,Critical,1.38,0.69,Medium,ap-east,Peak,Schedule Night (Low Load)
Payment Settlement,Low,13,Container_Micro,Medium,0.11,0.08,Very Low,ap-south,Weekend,Green Region Immediate
Order Processing,High,74,Container_Large,High,0.82,0.06,Very Low,Green_Region,Night,Execute Immediately
Warehouse Allocation,Medium,56,Container_Small,High,0.61,0.16,Low,eu-central,Off-Peak,Green Region Immediate
Fleet Dispatch,Critical,198,VM_XLarge,Medium,4.07,0.35,Low,Green_Region,Weekend,Execute Immediately
Supplier Management,Low,26,VM_Small,Critical,0.51,0.15,Low,eu-central,Off-Peak,Green Region Immediate
Payment Settlement,Low,22,Container_Micro,Medium,0.17,0.07,Very Low,ap-east,Night,Green Region Immediate
Shipment Tracking,Medium,48,Container_Small,Medium,0.55,0.21,Low,ap-east,Off-Peak,Green Region Immediate
Returns Processing,Critical,134,Bare_Metal,High,5.02,1.61,Very High,us-west,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Critical,278,VM_XLarge,Low,4.95,1.39,High,us-west,Night,Green Region Immediate
Supplier Management,Medium,41,Container_Small,Critical,0.54,0.37,Low,ap-south,Peak,Green Region Immediate
Order Processing,Low,20,VM_Small,Medium,0.4,0.25,Low,ap-south,Off-Peak,Green Region Immediate
Warehouse Allocation,Critical,217,Bare_Metal,High,9.11,3.88,Very High,us-east,Peak,Shift to Green Region + Night
Shipment Tracking,High,80,VM_Large,Medium,2.1,0.54,Medium,eu-central,Weekend,Schedule Night (Low Load)
Quality Control,Low,22,Container_Micro,Medium,0.18,0.02,Very Low,Green_Region,Night,Execute Immediately
Order Processing,High,113,Container_Large,Medium,1.38,0.67,Medium,us-east,Weekend,Schedule Night (Low Load)
Demand Forecasting,High,70,VM_Large,Low,1.74,0.59,Medium,eu-central,Weekend,Schedule Night (Low Load)
Returns Processing,High,88,VM_Large,High,2.43,1.01,High,ap-east,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Low,29,Container_Micro,Low,0.25,0.06,Very Low,eu-central,Weekend,Green Region Immediate
Shipment Tracking,Low,25,Container_Micro,Critical,0.19,0.02,Very Low,Green_Region,Night,Execute Immediately
Demand Forecasting,Low,11,Container_Micro,High,0.13,0.04,Very Low,us-west,Peak,Green Region Immediate
Demand Forecasting,Low,26,Container_Micro,Critical,0.22,0.04,Very Low,us-west,Weekend,Green Region Immediate
Supplier Management,High,113,Container_Large,High,1.46,0.55,Medium,eu-central,Off-Peak,Schedule Night (Low Load)
Returns Processing,Medium,44,VM_Medium,Medium,1.27,0.53,Medium,us-east,Peak,Schedule Night (Low Load)
Supplier Management,High,85,Container_Large,Critical,1.46,0.64,Medium,us-east,Peak,Schedule Night (Low Load)
Quality Control,High,118,VM_Large,Low,3.16,0.26,Low,Green_Region,Off-Peak,Execute Immediately
Fleet Dispatch,High,63,VM_Large,High,2.34,0.74,Medium,eu-central,Peak,Schedule Night (Low Load)
Shipment Tracking,Medium,56,Container_Small,High,0.57,0.39,Low,ap-south,Weekend,Green Region Immediate
Warehouse Allocation,Medium,43,VM_Medium,Low,1.27,0.37,Low,eu-central,Peak,Green Region Immediate
Quality Control,Low,26,VM_Small,Medium,0.52,0.03,Very Low,Green_Region,Off-Peak,Execute Immediately
Fleet Dispatch,Critical,278,Bare_Metal,Medium,8.46,3.93,Very High,us-east,Off-Peak,Shift to Green Region + Night
Returns Processing,Low,20,Container_Micro,Low,0.23,0.1,Very Low,ap-east,Peak,Green Region Immediate
Inventory Update,High,106,VM_Large,Medium,2.75,1.36,High,us-east,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Critical,171,Bare_Metal,Medium,5.97,2.49,Very High,us-east,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Critical,126,VM_XLarge,Critical,2.79,0.59,Medium,us-west,Night,Schedule Night (Low Load)
Supplier Management,Low,12,VM_Small,Medium,0.26,0.11,Very Low,us-east,Weekend,Green Region Immediate
Fleet Dispatch,Medium,37,Container_Small,High,0.5,0.22,Low,ap-east,Peak,Green Region Immediate
Warehouse Allocation,Critical,268,Bare_Metal,Critical,10.55,1.03,High,Green_Region,Peak,Shift to Green Region + Night
Warehouse Allocation,Medium,35,Container_Small,Low,0.34,0.12,Very Low,eu-central,Night,Green Region Immediate
Fleet Dispatch,Medium,53,Container_Small,Critical,0.77,0.47,Medium,ap-south,Peak,Schedule Night (Low Load)
Supplier Management,Critical,209,VM_XLarge,High,4.5,2.08,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Payment Settlement,High,98,VM_Large,High,2.59,1.16,High,ap-east,Off-Peak,Shift to Green Region + Night
Returns Processing,Low,27,VM_Small,High,0.48,0.3,Low,ap-south,Night,Green Region Immediate
Warehouse Allocation,Critical,186,Bare_Metal,Medium,5.91,1.73,Very High,eu-central,Weekend,Shift to Green Region + Night
Inventory Update,Medium,60,Container_Small,High,0.63,0.14,Very Low,us-west,Weekend,Green Region Immediate
Shipment Tracking,Critical,247,Bare_Metal,Critical,7.33,3.78,Very High,ap-east,Weekend,Shift to Green Region + Night
Payment Settlement,High,74,Container_Large,Critical,0.85,0.37,Low,ap-east,Night,Green Region Immediate
Warehouse Allocation,Medium,45,Container_Small,High,0.44,0.17,Low,ap-east,Weekend,Green Region Immediate
Order Processing,Medium,45,VM_Medium,High,1.33,0.14,Very Low,Green_Region,Peak,Execute Immediately
Shipment Tracking,High,83,Container_Large,High,1.41,0.31,Low,us-west,Peak,Green Region Immediate
Fleet Dispatch,Medium,58,VM_Medium,Critical,1.67,0.77,Medium,ap-east,Peak,Execute Immediately
Warehouse Allocation,Low,12,VM_Small,Low,0.27,0.12,Very Low,us-east,Off-Peak,Green Region Immediate
Shipment Tracking,Medium,46,VM_Medium,Critical,1.02,0.1,Very Low,Green_Region,Off-Peak,Execute Immediately
Warehouse Allocation,High,76,VM_Large,Medium,2.01,1.12,High,ap-south,Off-Peak,Shift to Green Region + Night
Supplier Management,Medium,56,Container_Small,Critical,0.58,0.37,Low,ap-south,Weekend,Green Region Immediate
Payment Settlement,Critical,204,VM_XLarge,High,5.79,2.42,Very High,us-east,Peak,Shift to Green Region + Night
Warehouse Allocation,High,78,Container_Large,Medium,1.05,0.29,Low,us-west,Off-Peak,Green Region Immediate
Order Processing,Low,13,Container_Micro,Critical,0.12,0.06,Very Low,ap-east,Off-Peak,Green Region Immediate
Shipment Tracking,Medium,34,VM_Medium,Medium,0.78,0.08,Very Low,Green_Region,Off-Peak,Execute Immediately
Payment Settlement,High,89,Container_Large,Medium,1.11,0.5,Medium,ap-east,Weekend,Execute Immediately
Payment Settlement,Low,30,VM_Small,Medium,0.78,0.36,Low,us-east,Peak,Green Region Immediate
Fleet Dispatch,Medium,58,VM_Medium,High,1.36,0.67,Medium,ap-east,Off-Peak,Green Region Immediate
Order Processing,Medium,47,VM_Medium,Low,0.95,0.21,Low,us-west,Night,Green Region Immediate
Inventory Update,Critical,228,Bare_Metal,Critical,6.38,4.58,Very High,ap-south,Night,Shift to Green Region + Night
Inventory Update,Medium,49,Container_Small,High,0.47,0.15,Low,eu-central,Night,Green Region Immediate
Shipment Tracking,Low,25,VM_Small,Low,0.51,0.1,Very Low,us-west,Off-Peak,Green Region Immediate
Supplier Management,High,109,VM_Large,Medium,2.89,0.75,Medium,us-west,Weekend,Schedule Night (Low Load)
Warehouse Allocation,Low,30,VM_Small,Critical,0.76,0.23,Low,eu-central,Peak,Green Region Immediate
Supplier Management,High,70,Container_Large,Critical,1.18,0.26,Low,us-west,Peak,Green Region Immediate
Fleet Dispatch,Medium,59,VM_Medium,Critical,1.41,0.09,Very Low,Green_Region,Off-Peak,Execute Immediately
Shipment Tracking,Critical,244,Bare_Metal,Medium,6.81,2.85,Very High,ap-east,Night,Shift to Green Region + Night
Supplier Management,Medium,35,VM_Medium,Critical,0.96,0.11,Very Low,Green_Region,Peak,Execute Immediately
Order Processing,Medium,43,Container_Small,Low,0.44,0.18,Low,us-east,Weekend,Green Region Immediate
Fleet Dispatch,Medium,51,Container_Small,High,0.57,0.04,Very Low,Green_Region,Off-Peak,Execute Immediately
Quality Control,High,80,VM_Large,Low,1.99,0.58,Medium,us-west,Night,Execute Immediately
Inventory Update,High,108,Container_Large,Medium,1.76,0.66,Medium,eu-central,Peak,Schedule Night (Low Load)
Supplier Management,Critical,264,VM_XLarge,High,4.61,3.22,Very High,ap-south,Night,Shift to Green Region + Night
Demand Forecasting,High,119,Container_Large,Low,1.41,0.63,Medium,us-east,Night,Schedule Night (Low Load)
Warehouse Allocation,Medium,55,VM_Medium,Low,1.24,0.25,Low,us-west,Weekend,Green Region Immediate
Fleet Dispatch,Low,21,VM_Small,Medium,0.55,0.2,Low,eu-central,Peak,Green Region Immediate
Quality Control,Low,16,Container_Micro,Critical,0.12,0.05,Very Low,eu-central,Night,Green Region Immediate
Order Processing,Medium,50,Container_Small,Critical,0.48,0.04,Very Low,Green_Region,Night,Execute Immediately
Inventory Update,High,108,VM_Large,Low,2.64,1.69,Very High,ap-south,Night,Shift to Green Region + Night
Order Processing,Critical,131,VM_XLarge,Critical,4.13,1.9,Very High,ap-east,Peak,Shift to Green Region + Night
Warehouse Allocation,Medium,51,Container_Small,Low,0.49,0.29,Low,ap-south,Night,Shift to Green Region + Night
Shipment Tracking,Medium,39,Container_Small,Medium,0.53,0.24,Low,ap-east,Peak,Green Region Immediate
Quality Control,Medium,39,Container_Small,Low,0.38,0.14,Very Low,eu-central,Night,Green Region Immediate
Returns Processing,Low,25,Container_Micro,Critical,0.3,0.03,Very Low,Green_Region,Peak,Execute Immediately
Inventory Update,Medium,45,VM_Medium,High,1.35,0.89,High,ap-south,Peak,Shift to Green Region + Night
Fleet Dispatch,Critical,126,Bare_Metal,Critical,4.78,1.54,High,eu-central,Off-Peak,Shift to Green Region + Night
Payment Settlement,Critical,130,Bare_Metal,Low,4.52,2.85,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Inventory Update,Medium,39,Container_Small,Low,0.52,0.35,Low,ap-south,Peak,Green Region Immediate
Order Processing,Medium,32,Container_Small,Low,0.34,0.16,Low,us-east,Off-Peak,Green Region Immediate
Returns Processing,Low,17,Container_Micro,High,0.13,0.06,Very Low,us-east,Night,Green Region Immediate
Quality Control,Low,21,Container_Micro,High,0.18,0.13,Very Low,ap-south,Weekend,Green Region Immediate
Warehouse Allocation,Critical,229,Bare_Metal,High,6.98,1.61,Very High,us-west,Weekend,Shift to Green Region + Night
Inventory Update,Critical,216,Bare_Metal,Medium,8.77,3.99,Very High,us-east,Peak,Shift to Green Region + Night
Quality Control,Low,16,Container_Micro,High,0.13,0.04,Very Low,eu-central,Night,Green Region Immediate
Demand Forecasting,Critical,268,Bare_Metal,Medium,10.84,7.61,Very High,ap-south,Peak,Shift to Green Region + Night
Inventory Update,Medium,32,Container_Small,Critical,0.42,0.11,Very Low,eu-central,Peak,Green Region Immediate
Warehouse Allocation,High,97,Container_Large,Low,1.26,0.7,Medium,ap-south,Off-Peak,Schedule Night (Low Load)
Demand Forecasting,Critical,255,VM_XLarge,Medium,4.41,2.06,Very High,us-east,Night,Shift to Green Region + Night
Returns Processing,Critical,245,Bare_Metal,Critical,6.96,2.98,Very High,us-east,Night,Shift to Green Region + Night
Demand Forecasting,High,64,Container_Large,High,0.77,0.29,Low,eu-central,Night,Green Region Immediate
Shipment Tracking,High,79,Container_Large,High,1.31,0.38,Low,eu-central,Peak,Green Region Immediate
Quality Control,Low,25,VM_Small,High,0.51,0.23,Low,ap-east,Off-Peak,Green Region Immediate
Inventory Update,Medium,53,Container_Small,Medium,0.75,0.2,Low,eu-central,Peak,Green Region Immediate
Supplier Management,Low,23,VM_Small,Medium,0.42,0.29,Low,ap-south,Night,Green Region Immediate
Quality Control,Low,23,VM_Small,Medium,0.6,0.13,Very Low,us-west,Peak,Green Region Immediate
Order Processing,Low,16,VM_Small,Critical,0.3,0.21,Low,ap-south,Night,Green Region Immediate
Fleet Dispatch,Low,21,Container_Micro,High,0.19,0.06,Very Low,eu-central,Off-Peak,Green Region Immediate
Inventory Update,Critical,156,VM_XLarge,High,4.56,1.95,Very High,ap-east,Peak,Shift to Green Region + Night
Payment Settlement,Medium,33,VM_Medium,High,0.67,0.37,Low,ap-south,Weekend,Green Region Immediate
Shipment Tracking,Low,14,VM_Small,Low,0.28,0.18,Low,ap-south,Night,Green Region Immediate
Payment Settlement,Medium,50,VM_Medium,High,1.04,0.67,Medium,ap-south,Night,Schedule Night (Low Load)
Order Processing,Critical,200,Bare_Metal,Critical,5.62,2.19,Very High,ap-east,Night,Shift to Green Region + Night
Inventory Update,Low,27,VM_Small,Medium,0.55,0.16,Low,eu-central,Off-Peak,Green Region Immediate
Quality Control,High,70,Container_Large,Critical,1.23,0.3,Low,us-west,Peak,Green Region Immediate
Warehouse Allocation,Low,23,Container_Micro,High,0.18,0.02,Very Low,Green_Region,Night,Execute Immediately
Returns Processing,High,91,Container_Large,Critical,1.57,1.01,High,ap-south,Peak,Shift to Green Region + Night
Returns Processing,High,112,VM_Large,Critical,3.68,1.7,Very High,ap-east,Peak,Shift to Green Region + Night
Supplier Management,Medium,43,Container_Small,Critical,0.6,0.19,Low,eu-central,Peak,Green Region Immediate
Order Processing,Low,21,Container_Micro,Medium,0.18,0.09,Very Low,us-east,Night,Green Region Immediate
Payment Settlement,Low,19,VM_Small,Low,0.53,0.14,Very Low,eu-central,Peak,Green Region Immediate
Payment Settlement,Critical,191,Bare_Metal,Critical,5.99,1.84,Very High,eu-central,Weekend,Shift to Green Region + Night
Warehouse Allocation,Low,11,VM_Small,Low,0.35,0.09,Very Low,us-west,Peak,Green Region Immediate
Returns Processing,Low,12,VM_Small,High,0.36,0.26,Low,ap-south,Peak,Green Region Immediate
Returns Processing,Medium,31,Container_Small,High,0.3,0.02,Very Low,Green_Region,Weekend,Execute Immediately
Returns Processing,Critical,224,Bare_Metal,Medium,6.39,3.17,Very High,us-east,Weekend,Shift to Green Region + Night
Shipment Tracking,Low,19,Container_Micro,Critical,0.16,0.02,Very Low,Green_Region,Weekend,Execute Immediately
Supplier Management,Medium,58,VM_Medium,Low,1.78,0.75,Medium,us-east,Peak,Schedule Night (Low Load)
Demand Forecasting,Low,19,Container_Micro,Critical,0.21,0.06,Very Low,eu-central,Peak,Green Region Immediate
Payment Settlement,Critical,275,Bare_Metal,Low,8.76,0.96,High,Green_Region,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Low,11,Container_Micro,Critical,0.13,0.06,Very Low,ap-east,Peak,Green Region Immediate
Quality Control,Low,23,VM_Small,Medium,0.41,0.18,Low,ap-east,Night,Green Region Immediate
Warehouse Allocation,Medium,41,VM_Medium,Low,0.92,0.58,Medium,ap-south,Off-Peak,Schedule Night (Low Load)
Supplier Management,Medium,53,Container_Small,Critical,0.55,0.16,Low,eu-central,Night,Green Region Immediate
Quality Control,Low,24,VM_Small,Low,0.64,0.17,Low,us-west,Peak,Green Region Immediate
Supplier Management,Critical,206,VM_XLarge,High,4.52,1.93,Very High,us-east,Off-Peak,Shift to Green Region + Night
Demand Forecasting,Low,11,VM_Small,Medium,0.35,0.09,Very Low,eu-central,Peak,Green Region Immediate
Payment Settlement,High,112,VM_Large,Low,3.7,2.33,Very High,ap-south,Peak,Shift to Green Region + Night
Quality Control,Low,13,Container_Micro,Medium,0.15,0.04,Very Low,us-west,Peak,Green Region Immediate
Inventory Update,High,62,VM_Large,Medium,1.72,0.83,High,us-east,Off-Peak,Shift to Green Region + Night
Inventory Update,Low,12,VM_Small,Low,0.26,0.05,Very Low,us-west,Weekend,Green Region Immediate
Inventory Update,High,81,Container_Large,High,1.01,0.36,Low,eu-central,Off-Peak,Green Region Immediate
Warehouse Allocation,Medium,44,Container_Small,Low,0.44,0.16,Low,eu-central,Night,Green Region Immediate
Shipment Tracking,Medium,60,Container_Small,Critical,0.64,0.39,Low,ap-south,Weekend,Green Region Immediate
Shipment Tracking,Critical,204,VM_XLarge,High,5.43,1.3,High,us-west,Peak,Shift to Green Region + Night
Inventory Update,Low,11,Container_Micro,Medium,0.09,0.04,Very Low,us-east,Weekend,Schedule Night (Low Load)
Returns Processing,Medium,39,VM_Medium,Critical,0.8,0.54,Medium,ap-south,Weekend,Schedule Night (Low Load)
Inventory Update,Critical,238,Bare_Metal,Low,9.32,3.13,Very High,eu-central,Peak,Shift to Green Region + Night
Order Processing,Low,15,Container_Micro,Critical,0.17,0.01,Very Low,Green_Region,Peak,Execute Immediately
Quality Control,Low,23,Container_Micro,High,0.21,0.1,Very Low,us-east,Off-Peak,Green Region Immediate
Shipment Tracking,Critical,179,VM_XLarge,Low,3.92,0.41,Medium,Green_Region,Off-Peak,Schedule Night (Low Load)
Supplier Management,Low,12,Container_Micro,Medium,0.13,0.02,Very Low,Green_Region,Peak,Execute Immediately
Payment Settlement,Low,27,Container_Micro,High,0.23,0.16,Low,ap-south,Weekend,Green Region Immediate
Order Processing,Critical,149,VM_XLarge,Low,4.72,2.42,Very High,ap-east,Peak,Shift to Green Region + Night
Fleet Dispatch,Medium,50,VM_Medium,Medium,1.47,0.56,Medium,ap-east,Peak,Schedule Night (Low Load)
Order Processing,Medium,40,VM_Medium,Critical,0.84,0.24,Low,eu-central,Weekend,Green Region Immediate
Demand Forecasting,Medium,39,VM_Medium,Medium,0.87,0.4,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Inventory Update,Critical,252,VM_XLarge,High,5.1,2.6,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Shipment Tracking,High,74,Container_Large,Medium,0.89,0.38,Low,us-east,Weekend,Green Region Immediate
Shipment Tracking,Medium,31,Container_Small,High,0.3,0.13,Very Low,us-east,Weekend,Green Region Immediate
Quality Control,Critical,165,VM_XLarge,Critical,3.33,1.98,Very High,ap-south,Night,Shift to Green Region + Night
Warehouse Allocation,Medium,57,Container_Small,Low,0.57,0.35,Low,ap-south,Night,Green Region Immediate
Order Processing,Critical,172,VM_XLarge,Critical,4.82,2.12,Very High,us-east,Peak,Shift to Green Region + Night
Returns Processing,Medium,31,Container_Small,Medium,0.29,0.11,Very Low,eu-central,Night,Green Region Immediate
Demand Forecasting,Low,17,VM_Small,Critical,0.34,0.09,Very Low,eu-central,Weekend,Green Region Immediate
Returns Processing,High,120,Container_Large,Medium,1.57,0.5,Medium,eu-central,Off-Peak,Schedule Night (Low Load)
Warehouse Allocation,Critical,156,VM_XLarge,High,3.57,0.86,High,us-west,Weekend,Shift to Green Region + Night
Supplier Management,High,61,VM_Large,Low,1.73,0.99,High,ap-south,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Low,26,Container_Micro,Medium,0.31,0.14,Very Low,ap-east,Peak,Green Region Immediate
Inventory Update,High,99,VM_Large,Low,2.28,1.0,High,ap-east,Night,Shift to Green Region + Night
Shipment Tracking,Medium,50,VM_Medium,Medium,1.1,0.29,Low,eu-central,Off-Peak,Green Region Immediate
Supplier Management,High,102,Container_Large,Medium,1.14,0.46,Medium,ap-east,Night,Schedule Night (Low Load)
Demand Forecasting,Medium,34,Container_Small,Critical,0.36,0.2,Low,ap-south,Off-Peak,Green Region Immediate
Shipment Tracking,High,108,VM_Large,Medium,2.69,1.62,Very High,ap-south,Night,Shift to Green Region + Night
Shipment Tracking,Low,15,Container_Micro,High,0.12,0.08,Very Low,ap-south,Night,Green Region Immediate
Order Processing,High,74,VM_Large,Medium,2.12,0.47,Medium,us-west,Off-Peak,Schedule Night (Low Load)
Order Processing,Medium,57,Container_Small,High,0.65,0.3,Low,ap-east,Off-Peak,Green Region Immediate
Quality Control,High,61,Container_Large,Medium,0.71,0.22,Low,eu-central,Night,Green Region Immediate
Supplier Management,Medium,53,VM_Medium,Medium,1.15,0.5,Medium,ap-east,Weekend,Schedule Night (Low Load)
Payment Settlement,Medium,51,Container_Small,Medium,0.73,0.22,Low,eu-central,Peak,Green Region Immediate
Returns Processing,Medium,60,Container_Small,High,0.6,0.22,Low,eu-central,Night,Green Region Immediate
Returns Processing,Low,20,VM_Small,High,0.36,0.1,Very Low,us-west,Night,Green Region Immediate
Demand Forecasting,High,117,Container_Large,High,1.3,0.63,Medium,ap-east,Night,Schedule Night (Low Load)
Order Processing,Critical,180,Bare_Metal,High,7.48,0.83,High,Green_Region,Peak,Shift to Green Region + Night
Demand Forecasting,Medium,42,Container_Small,High,0.41,0.04,Very Low,Green_Region,Night,Execute Immediately
Returns Processing,High,67,Container_Large,High,1.11,0.5,Medium,us-east,Peak,Schedule Night (Low Load)
Fleet Dispatch,Critical,193,VM_XLarge,Low,4.22,1.21,High,eu-central,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Low,29,Container_Micro,Medium,0.25,0.1,Very Low,us-east,Weekend,Shift to Green Region + Night
Demand Forecasting,Critical,189,Bare_Metal,Medium,6.16,3.03,Very High,us-east,Weekend,Shift to Green Region + Night
Demand Forecasting,Medium,36,Container_Small,Medium,0.34,0.09,Very Low,us-west,Night,Green Region Immediate
Shipment Tracking,High,63,VM_Large,High,2.23,1.58,High,ap-south,Peak,Shift to Green Region + Night
Returns Processing,High,98,Container_Large,Low,1.17,0.69,Medium,ap-south,Weekend,Schedule Night (Low Load)
Quality Control,Medium,53,Container_Small,Medium,0.52,0.14,Very Low,us-west,Night,Green Region Immediate
Order Processing,Low,23,Container_Micro,Low,0.18,0.01,Very Low,Green_Region,Night,Schedule Night (Low Load)
Quality Control,Low,13,VM_Small,Medium,0.28,0.12,Very Low,us-east,Weekend,Green Region Immediate
Payment Settlement,Low,28,VM_Small,High,0.56,0.14,Very Low,us-west,Off-Peak,Green Region Immediate
Inventory Update,High,77,Container_Large,Medium,1.25,0.46,Medium,eu-central,Peak,Schedule Night (Low Load)
Shipment Tracking,Critical,207,VM_XLarge,Medium,4.18,1.29,High,eu-central,Weekend,Shift to Green Region + Night
Demand Forecasting,High,77,VM_Large,Low,2.18,0.79,Medium,eu-central,Off-Peak,Schedule Night (Low Load)
Warehouse Allocation,High,88,Container_Large,Medium,1.46,0.51,Medium,eu-central,Peak,Schedule Night (Low Load)
Warehouse Allocation,Low,29,VM_Small,Low,0.55,0.25,Low,ap-east,Weekend,Green Region Immediate
Warehouse Allocation,Low,29,Container_Micro,Critical,0.22,0.02,Very Low,Green_Region,Night,Shift to Green Region + Night
Demand Forecasting,Critical,269,VM_XLarge,Critical,5.43,2.53,Very High,ap-east,Off-Peak,Execute Immediately
Supplier Management,High,94,VM_Large,Medium,3.3,1.01,High,eu-central,Peak,Shift to Green Region + Night
Returns Processing,Low,19,VM_Small,Critical,0.37,0.17,Low,us-east,Night,Green Region Immediate
Fleet Dispatch,Critical,186,VM_XLarge,High,4.19,0.29,Low,Green_Region,Off-Peak,Execute Immediately
Demand Forecasting,High,99,VM_Large,Medium,2.34,1.04,High,ap-east,Night,Shift to Green Region + Night
Quality Control,Low,18,Container_Micro,Critical,0.16,0.09,Very Low,ap-south,Off-Peak,Green Region Immediate
Demand Forecasting,Medium,39,VM_Medium,High,0.84,0.28,Low,eu-central,Weekend,Green Region Immediate
Supplier Management,High,71,Container_Large,Medium,1.15,0.54,Medium,ap-east,Peak,Schedule Night (Low Load)
Inventory Update,Low,17,Container_Micro,Medium,0.15,0.08,Very Low,ap-east,Weekend,Green Region Immediate
Fleet Dispatch,Medium,53,VM_Medium,High,1.05,0.46,Medium,ap-east,Night,Schedule Night (Low Load)
Inventory Update,Low,11,VM_Small,High,0.25,0.08,Very Low,us-west,Weekend,Green Region Immediate
Shipment Tracking,High,71,VM_Large,Medium,2.01,1.0,High,ap-east,Off-Peak,Shift to Green Region + Night
Payment Settlement,High,82,VM_Large,Medium,1.92,0.85,High,us-east,Night,Shift to Green Region + Night
Inventory Update,High,87,Container_Large,High,1.1,0.56,Medium,ap-east,Weekend,Schedule Night (Low Load)
Fleet Dispatch,Medium,31,Container_Small,High,0.32,0.15,Low,ap-east,Off-Peak,Green Region Immediate
Supplier Management,High,117,Container_Large,Medium,1.28,0.11,Very Low,Green_Region,Night,Execute Immediately
Warehouse Allocation,Low,27,Container_Micro,Critical,0.24,0.12,Very Low,ap-east,Weekend,Green Region Immediate
Order Processing,Low,20,Container_Micro,High,0.17,0.04,Very Low,us-west,Weekend,Green Region Immediate
Inventory Update,Medium,33,VM_Medium,Low,0.68,0.16,Low,us-west,Night,Green Region Immediate
Fleet Dispatch,Medium,41,Container_Small,Low,0.41,0.14,Very Low,eu-central,Weekend,Green Region Immediate
Payment Settlement,Medium,54,VM_Medium,High,1.14,0.51,Medium,ap-east,Night,Schedule Night (Low Load)
Inventory Update,High,64,Container_Large,Critical,0.86,0.27,Low,eu-central,Off-Peak,Green Region Immediate
Demand Forecasting,Low,26,VM_Small,High,0.48,0.04,Very Low,Green_Region,Night,Execute Immediately
Supplier Management,Low,26,Container_Micro,Critical,0.24,0.06,Very Low,us-west,Off-Peak,Green Region Immediate
Shipment Tracking,Low,26,Container_Micro,High,0.21,0.02,Very Low,Green_Region,Weekend,Execute Immediately
Demand Forecasting,Low,26,Container_Micro,Low,0.23,0.07,Very Low,eu-central,Off-Peak,Green Region Immediate
Supplier Management,Medium,47,VM_Medium,Low,0.91,0.29,Low,eu-central,Night,Green Region Immediate
Payment Settlement,Medium,44,Container_Small,Critical,0.43,0.03,Very Low,Green_Region,Night,Execute Immediately
Inventory Update,Critical,222,VM_XLarge,High,4.58,2.59,Very High,ap-south,Weekend,Shift to Green Region + Night
Quality Control,Medium,50,VM_Medium,Low,0.97,0.62,Medium,ap-south,Night,Schedule Night (Low Load)
Shipment Tracking,High,85,VM_Large,Low,2.24,0.99,High,us-east,Weekend,Shift to Green Region + Night
Inventory Update,Critical,126,Bare_Metal,Medium,5.94,0.3,Low,Green_Region,Peak,Execute Immediately
Quality Control,High,114,Container_Large,Critical,1.24,0.86,High,ap-south,Night,Shift to Green Region + Night
Shipment Tracking,Critical,234,VM_XLarge,Critical,4.34,1.73,Very High,ap-east,Night,Shift to Green Region + Night
Warehouse Allocation,Low,13,Container_Micro,Low,0.11,0.08,Very Low,ap-south,Weekend,Green Region Immediate
